"""avaliacao_mensagem"""
"""Bom produto, dentro do oferecido"""
"""Muito ruim. Trava muito no jogo free fire, pior telefone que já comprei"""
"""Chegou antes do prazo, e recomendo a todos"""
"""Era exatamente o que eu esperava. """
"""Ótimo."""
"""como vou saber. o celular foi extraviado no dia 12 de janeiro. e no dia 13 de janeiro as 00:23 foi dado baixa no site da transportadora. e no app das casas bahia como entregue."""
"""Bateria que não passa nem meio dia se vc usar regularmente, sem falar na tela dele que estão descalibrada. Horrivel"""
"""Escolhi  pelo fato de já ter tido iphone achei resistente e bem  eficiente , mais este telefone esta bugando e fica em tela preta, telefone novo , nao poderia estar assim certo."""
"""Eu amei minha filha tambem"""
"""Bom... Os aparelhos iphone são otimos"""
""" recomendo a todos """
"""Sim, muito bom,o produto otimo."""
"""Não trava e o armazenamento dele otimo """
"""Celular muito lento, ja configurei 2 vezes de fabrica para ver se fica agil."""
"""Péssimo sensor , preciso da nota não.consigo para mandar assistencia técnica """
"""Muito ruim. Trava muito no jogo free fire, pior telefone que ja comprei"""
"""Ate agora estou gostando muito. Bateria tem de fato longa duração desde de que o pacote de dados esteja desligado, iluminação reduzida. Issa duração da bateria. No demais tudo certinho até agora."""
"""Bateria dura muito mais celular trava parece até que voltei no tempo jogo meu filho nem consegue"""
"""Muito linda minha mãe amou """
"""Não gostei do celular, a tela é escura , trava com whatsapp e whatsapp bussines, se voce estiver no SOL impossivel de enxergar algo, Porem em Jogos ele rodou OK."""
"""Celular perfeito!!! Valeu cada centavo... bateria, câmeras, etc tudo maravilhoso. O lado ruim que não vem com fonte ( carregador ) e fone de ouvido, fora isso muito bom. Indico sempre!! A Apple não decepciona."""
"""A caixa veio vazia! Sem o aparelho! Até agora nada resolvido sobre isso"""
"""Muito bom o produto"""
"""Ótimo custo benefício"""
"""Produto excelente, recomendo! """
"""Caro"""
"""Do jeito que falavam do Iphone e pelo preço, eu esperava mais, sai do Xiaomi Mi 9 e não senti diferença. Display muito frágil."""
"""Tive a sorte de meu aparelho vir com defeito nas câmeras, fiz a troca e ainda estou aguardando o novo produto. O prazo eram 6 dias para troca... """
"""Produto Satisfatório """
"""Ótimo meu iPhone chegou bem antes do prazo adorei muito bom e já vou compra outro pra minha esposa """
"""O produto apresenta problemas com frequência """
"""apenas esperava mais do produto"""
"""É um Ótimo celular eu amei foi o  primeiro iPhone que comprei não recomendo comprar menos que um iPhone  11 pra quem nunca teve um , o investimento vale a pena !"""
"""Top"""
"""Do jeito que falavam do Iphone e pelo preço, eu esperava mais, sai do Xiaomi Mi 9 e não senti diferença. Display muito frágil."""
"""Fora de série, superou as expectativas."""
"""Uma pena a apple remover o carregador do produto"""
"""Perfeito"""
"""Ótimo celular."""
"""O iPhone 11 é maravilhoso. Superou minhas expectativas."""
